Operation,Certificate,ProcessingTime(ms),Status
Issue,CERT: 45451,10.493,Issued
Issue,CERT: 34884,10.466,Issued
Issue,CERT: 5631,10.462,Issued
Issue,CERT: 42282,10.206,Issued
Issue,CERT: 25935,10.491,Issued
Issue,CERT: 65445,10.484,Issued
Issue,CERT: 41695,10.406,Issued
Issue,CERT: 22674,10.485,Issued
Issue,CERT: 10044,10.385,Issued
Issue,CERT: 4781,10.403,Issued
Issue,CERT: 11689,10.294,Issued
Issue,CERT: 3014,10.548,Issued
Issue,CERT: 87618,10.470,Issued
Issue,CERT: 96586,10.292,Issued
Issue,CERT: 16850,10.376,Issued
Issue,CERT: 16627,10.171,Issued
Issue,CERT: 63844,10.429,Issued
Issue,CERT: 34842,10.756,Issued
Issue,CERT: 34520,10.409,Issued
Issue,CERT: 61000,10.564,Issued
Issue,CERT: 49610,10.488,Issued
Issue,CERT: 90217,10.383,Issued
Issue,CERT: 17783,10.233,Issued
Issue,CERT: 68263,10.144,Issued
Issue,CERT: 18089,10.378,Issued
Issue,CERT: 81796,10.360,Issued
Issue,CERT: 85983,10.379,Issued
Issue,CERT: 11371,10.372,Issued
Issue,CERT: 26768,10.131,Issued
Issue,CERT: 37552,10.494,Issued
Issue,CERT: 75893,10.464,Issued
Issue,CERT: 16872,10.422,Issued
Issue,CERT: 76542,10.362,Issued
Issue,CERT: 49275,10.437,Issued
Issue,CERT: 93786,10.384,Issued
Issue,CERT: 73602,10.236,Issued
Issue,CERT: 66034,10.404,Issued
Issue,CERT: 98192,10.347,Issued
Issue,CERT: 56125,10.283,Issued
Issue,CERT: 89492,10.401,Issued
Issue,CERT: 61899,10.403,Issued
Issue,CERT: 44217,10.437,Issued
Issue,CERT: 45914,10.144,Issued
Issue,CERT: 75692,10.483,Issued
Issue,CERT: 42495,10.493,Issued
Issue,CERT: 17086,10.408,Issued
Issue,CERT: 83956,10.389,Issued
Issue,CERT: 19497,10.445,Issued
Issue,CERT: 38485,10.433,Issued
Issue,CERT: 97167,10.603,Issued
Issue,CERT: 48994,10.476,Issued
Issue,CERT: 43324,10.376,Issued
Issue,CERT: 93316,10.552,Issued
Issue,CERT: 78497,10.228,Issued
Issue,CERT: 38870,10.322,Issued
Issue,CERT: 71460,10.451,Issued
Issue,CERT: 6291,10.422,Issued
Issue,CERT: 59991,10.442,Issued
Issue,CERT: 22720,10.499,Issued
Issue,CERT: 88446,10.326,Issued
Issue,CERT: 7235,10.492,Issued
Issue,CERT: 27352,10.383,Issued
Issue,CERT: 86867,10.378,Issued
Issue,CERT: 61244,10.124,Issued
Issue,CERT: 57780,10.478,Issued
Issue,CERT: 91657,10.464,Issued
Issue,CERT: 73941,10.149,Issued
Issue,CERT: 84842,10.427,Issued
Issue,CERT: 48863,10.315,Issued
Issue,CERT: 88788,10.266,Issued
Issue,CERT: 26090,10.244,Issued
Issue,CERT: 6281,10.417,Issued
Issue,CERT: 73779,10.471,Issued
Issue,CERT: 28077,10.208,Issued
Issue,CERT: 95674,10.552,Issued
Issue,CERT: 2160,10.426,Issued
Issue,CERT: 57028,10.496,Issued
Issue,CERT: 64755,10.459,Issued
Issue,CERT: 62924,10.407,Issued
Issue,CERT: 73017,10.341,Issued
Issue,CERT: 17611,10.357,Issued
Issue,CERT: 27109,10.377,Issued
Issue,CERT: 4336,10.517,Issued
Issue,CERT: 76021,10.403,Issued
Issue,CERT: 93546,10.557,Issued
Issue,CERT: 24261,10.417,Issued
Issue,CERT: 11534,10.105,Issued
Issue,CERT: 17625,10.118,Issued
Issue,CERT: 27318,10.444,Issued
Issue,CERT: 81954,10.389,Issued
Issue,CERT: 72044,10.426,Issued
Issue,CERT: 50542,10.499,Issued
Issue,CERT: 17421,10.354,Issued
Issue,CERT: 31263,10.302,Issued
Issue,CERT: 87568,10.449,Issued
Issue,CERT: 30155,10.375,Issued
Issue,CERT: 16311,10.360,Issued
Issue,CERT: 85510,10.301,Issued
Issue,CERT: 2832,10.280,Issued
Issue,CERT: 99393,10.362,Issued
Issue,CERT: 39812,10.427,Issued
Issue,CERT: 87919,10.437,Issued
Issue,CERT: 66249,10.343,Issued
Issue,CERT: 68460,10.126,Issued
Issue,CERT: 74266,10.354,Issued
Issue,CERT: 94794,10.397,Issued
Issue,CERT: 54391,10.390,Issued
Issue,CERT: 18182,10.365,Issued
Issue,CERT: 73497,10.349,Issued
Issue,CERT: 30545,10.459,Issued
Issue,CERT: 18580,10.318,Issued
Issue,CERT: 82260,10.476,Issued
Issue,CERT: 79966,10.459,Issued
Issue,CERT: 71677,10.526,Issued
Issue,CERT: 10235,10.286,Issued
Issue,CERT: 64089,10.406,Issued
Issue,CERT: 86643,10.454,Issued
